"","year","state","division","total_population","fss","firearm_suicides","total_suicides","white_fss","nonwhite_fss"
"371",2017,"Illinois","East North Central",12802023,0.391451832,577,1474,0.388036817,0.393750012
"372",2017,"Indiana","East North Central",6666818,0.553113553,604,1092,0.554901958,0.491803288
"374",2017,"Kansas","West North Central",2913123,0.580882353,316,544,0.585317433,0.428571433
"375",2017,"Kentucky","East South Central",4454189,0.61038961,470,770,0.613915443,0.560000002
"376",2017,"Louisiana","West South Central",4684333,0.616666667,444,720,0.622895598,0.601694942
"378",2017,"Maryland","South Atlantic",6052177,0.431528662,271,628,0.454545468,0.293650806
"379",2017,"Massachusetts","New England",6859819,0.2228739,152,682,0.223101273,0
"380",2017,"Michigan","East North Central",9962311,0.468085106,682,1457,0.4743976,0.280991733
"381",2017,"Minnesota","West North Central",5576606,0.466155811,365,783,0.484550565,0
"382",2017,"Mississippi","East South Central",2984100,0.662921348,295,445,0.670157075,0.5
"383",2017,"Missouri","West North Central",6113532,0.609035621,701,1151,0.608411193,0.585714281
"384",2017,"Montana","Mountain",1050493,0.68488746,213,311,0.728260875,0
"386",2017,"Nevada","Mountain",2998039,0.528089888,329,623,0.542592585,0.204819277
"388",2017,"New Jersey","Middle Atlantic",9005644,0.256603774,204,795,0.266666681,0.150000006
"389",2017,"New Mexico","Mountain",2088070,0.531568228,261,491,0.558620691,0.318181813
"390",2017,"New York","Middle Atlantic",19849399,0.256213018,433,1690,0.277074546,0.111940302
"391",2017,"North Carolina","South Atlantic",10273419,0.555555556,840,1512,0.556053817,0.462500006
"392",2017,"North Dakota","West North Central",755393,0.603896104,93,154,0.574626863,0
"393",2017,"Ohio","East North Central",11658609,0.527586207,918,1740,0.527654171,0.46875
"394",2017,"Oklahoma","West South Central",3930864,0.590053763,439,744,0.593354404,0.428571433
"395",2017,"Oregon","Pacific",4142776,0.532121212,439,825,0.540645182,0
"396",2017,"Pennsylvania","Middle Atlantic",12805537,0.489162562,993,2030,0.495726496,0.370860934
"398",2017,"South Carolina","South Atlantic",5024369,0.633651551,531,838,0.635359108,0.560000002
"399",2017,"South Dakota","West North Central",869666,0.434554974,83,191,0.510638297,0
"400",2017,"Tennessee","East South Central",6715984,0.609777015,711,1166,0.610545814,0.540540516
"401",2017,"Texas","West South Central",28304596,0.572110286,2158,3772,0.581732213,0.467866331
"402",2017,"Utah","Mountain",3101833,0.518853695,344,663,0.528662443,0
"404",2017,"Virginia","South Atlantic",8470020,0.571914894,672,1175,0.572387338,0.528455257
"405",2017,"Washington","Pacific",7405743,0.492675405,639,1297,0.511206925,0.293650806
"407",2017,"Wisconsin","East North Central",5795483,0.473856209,435,918,0.470790386,0.375
"409",2018,"Alabama","East South Central",4887871,0.670716889,552,823,0.672676861,0.615384638
"410",2018,"Alaska","Pacific",737438,0.581521739,107,184,0.675000012,0.305084735
"411",2018,"Arizona","Mountain",7171646,0.557719054,802,1438,0.592741907,0.272251308
